	words	pron	strs	numsyl	pos
0	a	['AA1']	(0,)	1	AT
1	abandoned	['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N', 'D']	(0, 1, 0)	3	VBN
2	abdicate	['AE1', 'B', 'D', 'AH0', 'K', 'EY2', 'T']	(1, 0, 1)	3	NN
3	abdomen	['AE0', 'B', 'D', 'OW1', 'M', 'AH0', 'N']	(0, 1, 0)	3	NNS
4	abhors	['AH0', 'B', 'HH', 'AO1', 'R', 'Z']	(0, 1)	2	NNS
5	able	['EY1', 'B', 'AH0', 'L']	(1, 0)	2	JJ
6	aboard	['AH0', 'B', 'AO1', 'R', 'D']	(0, 1)	2	NN
7	about	['AH0', 'B', 'AW1', 'T']	(0, 1)	2	IN
8	above	['AH0', 'B', 'AH1', 'V']	(0, 1)	2	IN
9	absent	['AE1', 'B', 'S', 'AH0', 'N', 'T']	(1, 0)	2	NN
10	absolute	['AE1', 'B', 'S', 'AH0', 'L', 'UW2', 'T']	(1, 0, 1)	3	JJ
11	absolutely	['AE2', 'B', 'S', 'AH0', 'L', 'UW1', 'T', 'L', 'IY0']	(1, 0, 1, 0)	4	RB
12	absorbing	['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'IH0', 'NG']	(0, 1, 0)	3	VBG
13	absorbs	['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'Z']	(0, 1)	2	VBZ
14	abstain	['AH0', 'B', 'S', 'T', 'EY1', 'N']	(0, 1)	2	VB
15	abstract	['AE0', 'B', 'S', 'T', 'R', 'AE1', 'K', 'T']	(0, 1)	2	NN
16	absurd	['AH0', 'B', 'S', 'ER1', 'D']	(0, 1)	2	NN
17	absurds	['AA1', 'B', 'S', 'UW1', 'R', 'D', 'S']	(1, 0)	2	NNS
18	abundant	['AH0', 'B', 'AH1', 'N', 'D', 'AH0', 'N', 'T']	(0, 1, 0)	3	JJ
19	abuse	['AH0', 'B', 'Y', 'UW1', 'S']	(0, 1)	2	NN
20	abused	['AH0', 'B', 'Y', 'UW1', 'Z', 'D']	(0, 1)	2	VBN
21	abusing	['AH0', 'B', 'Y', 'UW1', 'Z', 'IH0', 'NG']	(0, 1, 0)	3	VBG
22	abysmal	['AH0', 'B', 'IH1', 'Z', 'M', 'AH0', 'L']	(0, 1, 0)	3	JJ
23	abyss	['AH0', 'B', 'IH1', 'S']	(0, 1)	2	NN
24	academic	['AE2', 'K', 'AH0', 'D', 'EH1', 'M', 'IH0', 'K']	(1, 0, 1, 0)	4	JJ
25	accept	['AE0', 'K', 'S', 'EH1', 'P', 'T']	(0, 1)	2	VB
26	accidents	['AE1', 'K', 'S', 'AH0', 'D', 'AH0', 'N', 'T', 'S']	(1, 0, 1)	3	NNS
27	accolades	['AE1', 'K', 'AH0', 'L', 'EY2', 'D', 'Z']	(1, 0, 1)	3	NNS
28	accord	['AH0', 'K', 'AO1', 'R', 'D']	(0, 1)	2	NN
29	accounts	['AH0', 'K', 'AW1', 'N', 'T', 'S']	(0, 1)	2	NNS
30	accusation	['AE2', 'K', 'Y', 'AH0', 'Z', 'EY1', 'SH', 'AH0', 'N']	(1, 0, 1, 0)	4	NN
31	acquired	['AH0', 'K', 'W', 'AY1', 'ER0', 'D']	(0, 1, 0)	3	VBN
32	acquisition	['AE2', 'K', 'W', 'AH0', 'Z', 'IH1', 'SH', 'AH0', 'N']	(1, 0, 1, 0)	4	NN
33	across	['AH0', 'K', 'R', 'AO1', 'S']	(0, 1)	2	IN
34	act	['AE1', 'K', 'T']	(1,)	1	NN
35	action	['AE1', 'K', 'SH', 'AH0', 'N']	(1, 0)	2	NN
36	actions	['AE1', 'K', 'SH', 'AH0', 'N', 'Z']	(1, 0)	2	NNS
37	activate	['AE1', 'K', 'T', 'AH0', 'V', 'EY2', 'T']	(1, 0, 1)	3	VB
38	adamantine	['AH0', 'D', 'AE1', 'M', 'AH0', 'N', 'T', 'IH0', 'N']	(0, 1, 0, 1)	4	NN
39	add	['AE1', 'D']	(1,)	1	VB
40	adderall	['AA1', 'DD', 'AH0', 'R', 'AA1', 'IY0']	(1, 0, 1, 0)	4	NN
41	addicts	['AH0', 'D', 'IH1', 'K', 'T', 'S']	(0, 1)	2	NNS
42	address	['AE1', 'D', 'R', 'EH2', 'S']	(1, 0)	2	VB
43	admit	['AH0', 'D', 'M', 'IH1', 'T']	(0, 1)	2	NN
44	adored	['AH0', 'D', 'AO1', 'R', 'D']	(0, 1)	2	VBD
45	adores	['AH0', 'D', 'AO1', 'R', 'Z']	(0, 1)	2	NNS
46	advance	['AH0', 'D', 'V', 'AE1', 'N', 'S']	(0, 1)	2	VB
47	advancements	['AH0', 'D', 'V', 'AE1', 'N', 'S', 'M', 'AH0', 'N', 'T', 'S']	(0, 1, 0)	3	NNS
48	advancing	['AH0', 'D', 'V', 'AE1', 'N', 'S', 'IH0', 'NG']	(0, 1, 0)	3	VBG
49	afar	['AH0', 'F', 'AA1', 'R']	(0, 1)	2	RN
50	affair	['AH0', 'F', 'EH1', 'R']	(0, 1)	2	NN
51	afflicted	['AH0', 'F', 'L', 'IH1', 'K', 'T', 'AH0', 'D']	(0, 1, 0)	3	VBN
52	afford	['AH0', 'F', 'AO1', 'R', 'D']	(0, 1)	2	NN
53	aflame	['AH0', 'F', 'L', 'EY1', 'M']	(0, 1)	2	NN
54	afraid	['AH0', 'F', 'R', 'EY1', 'D']	(0, 1)	2	NN
55	african	['AE1', 'F', 'R', 'AH0', 'K', 'AH0', 'N']	(1, 0, 1)	3	JJ
56	after	['AE1', 'F', 'T', 'ER0']	(1, 0)	2	CS
57	aftermath	['AE1', 'F', 'T', 'ER0', 'M', 'AE2', 'TH']	(1, 0, 1)	3	NN
58	again	['AH0', 'G', 'EH1', 'N']	(0, 1)	2	RB
59	against	['AH0', 'G', 'EH1', 'N', 'S', 'T']	(0, 1)	2	IN
60	age	['EY1', 'JH']	(1,)	1	NN
61	aged	['EY1', 'JH', 'D']	(1,)	1	VBN
62	agencies	['EY1', 'JH', 'AH0', 'N', 'S', 'IY0', 'Z']	(1, 0, 1)	3	NNS
63	agile	['AE1', 'JH', 'AH0', 'L']	(1, 0)	2	NN
64	aging	['EY1', 'JH', 'IH0', 'NG']	(1, 0)	2	VBG
65	ago	['AH0', 'G', 'OW1']	(0, 1)	2	RB
66	agreement	['AH0', 'G', 'R', 'IY1', 'M', 'AH0', 'N', 'T']	(0, 1, 0)	3	NN
67	ah	['AA1']	(1,)	1	BER
68	ahead	['AH0', 'HH', 'EH1', 'D']	(0, 1)	2	RB
69	ahold	['AH0', 'HH', 'OW1', 'L', 'D']	(0, 1)	2	NN
70	aimed	['EY1', 'M', 'D']	(1,)	1	VBN
71	air	['EH1', 'R']	(1,)	1	NN
72	alert	['AH0', 'L', 'ER1', 'T']	(0, 1)	2	NN
73	algorithmic	['AH0', 'L', 'JH', 'OW0', 'R', 'IH0', 'T', 'HH', 'M', 'IH0', 'AH0']	(0, 1, 0, 1, 0)	5	JJ
74	algorithms	['AE1', 'L', 'G', 'ER0', 'IH2', 'DH', 'AH0', 'M', 'Z']	(1, 0, 1, 0)	4	NN
75	alien	['EY1', 'L', 'IY0', 'AH0', 'N']	(1, 0, 1)	3	JJ
76	alike	['AH0', 'L', 'AY1', 'K']	(0, 1)	2	JJ
77	alive	['AH0', 'L', 'AY1', 'V']	(0, 1)	2	JJ
78	all	['AO1', 'L']	(1,)	1	ABN
79	allow	['AH0', 'L', 'AW1']	(0, 1)	2	VB
80	allowed	['AH0', 'L', 'AW1', 'D']	(0, 1)	2	VBN
81	allowing	['AH0', 'L', 'AW1', 'IH0', 'NG']	(0, 1, 0)	3	VBG
82	allows	['AH0', 'L', 'AW1', 'Z']	(0, 1)	2	NNS
83	almighty	['AO0', 'L', 'M', 'AY1', 'T', 'IY0']	(0, 1, 0)	3	NN
84	almost	['AO1', 'L', 'M', 'OW2', 'S', 'T']	(1, 0)	2	RB
85	alone	['AH0', 'L', 'OW1', 'N']	(0, 1)	2	RB
86	along	['AH0', 'L', 'AO1', 'NG']	(0, 1)	2	RB
87	aloud	['AH0', 'L', 'AW1', 'D']	(0, 1)	2	RB
88	already	['AO0', 'L', 'R', 'EH1', 'D', 'IY0']	(0, 1, 0)	3	RB
89	also	['AO1', 'L', 'S', 'OW0']	(1, 0)	2	RB
90	altar	['AO1', 'L', 'T', 'ER0']	(1, 0)	2	NN
91	altared	['AA1', 'L', 'T', 'AH0', 'R', 'IH0', 'D']	(1, 0, 1)	3	VBN
92	although	['AO2', 'L', 'DH', 'OW1']	(1, 0)	2	CS
93	always	['AO1', 'L', 'W', 'EY2', 'Z']	(1, 0)	2	RB
94	am	['AE1', 'M']	(1,)	1	BEM
95	amateur	['AE1', 'M', 'AH0', 'T', 'ER2']	(1, 0, 1)	3	NN
96	amaze	['AH0', 'M', 'EY1', 'Z']	(0, 1)	2	NN
97	amazed	['AH0', 'M', 'EY1', 'Z', 'D']	(0, 1)	2	VBD
98	ambassadors	['AE0', 'M', 'B', 'AE1', 'S', 'AH0', 'D', 'ER0', 'Z']	(0, 1, 0, 1)	4	NNS
99	amber	['AE1', 'M', 'B', 'ER0']	(1, 0)	2	JJ
100	ambition	['AE0', 'M', 'B', 'IH1', 'SH', 'AH0', 'N']	(0, 1, 0)	3	NN
101	ambrosia	['AE0', 'M', 'B', 'R', 'OW1', 'ZH', 'AH0']	(0, 1, 0)	3	NN
102	ameliorate	['AH0', 'M', 'IY1', 'L', 'Y', 'ER0', 'EY2', 'T']	(0, 1, 0, 1)	4	NN
103	america	['AH0', 'M', 'EH1', 'R', 'AH0', 'K', 'AH0']	(0, 1, 0, 1)	4	NN
104	amiable	['EY1', 'M', 'IY0', 'AH0', 'B', 'AH0', 'L']	(1, 0, 1, 0)	4	JJ
105	ammunition	['AE2', 'M', 'Y', 'AH0', 'N', 'IH1', 'SH', 'AH0', 'N']	(1, 0, 1, 0)	4	NN
106	among	['AH0', 'M', 'AH1', 'NG']	(0, 1)	2	IN
107	amorphous	['AH0', 'M', 'AO1', 'R', 'F', 'AH0', 'S']	(0, 1, 0)	3	JJ
108	amused	['AH0', 'M', 'Y', 'UW1', 'Z', 'D']	(0, 1)	2	VBD
109	an	['AE1', 'N']	(1,)	1	AT
110	ancient	['EY1', 'N', 'CH', 'AH0', 'N', 'T']	(1, 0)	2	JJ
111	and	['AH0', 'N', 'D']	(0,)	1	CC
112	angels	['EY1', 'N', 'JH', 'AH0', 'L', 'Z']	(1, 0)	2	NNS
113	anger	['AE1', 'NG', 'G', 'ER0']	(1, 0)	2	NN
114	angle	['AE1', 'NG', 'G', 'AH0', 'L']	(1, 0)	2	NN
115	angles	['AE1', 'NG', 'G', 'AH0', 'L', 'Z']	(1, 0)	2	NNS
116	angry	['AE1', 'NG', 'G', 'R', 'IY0']	(1, 0)	2	JJ
117	anguish	['AE1', 'NG', 'G', 'W', 'IH0', 'SH']	(1, 0)	2	NN
118	animal	['AE1', 'N', 'AH0', 'M', 'AH0', 'L']	(1, 0, 1)	3	NN
119	announce	['AH0', 'N', 'AW1', 'N', 'S']	(0, 1)	2	VB
120	annoying	['AH0', 'N', 'OY1', 'IH0', 'NG']	(0, 1, 0)	3	VBG
121	another	['AH0', 'N', 'AH1', 'DH', 'ER0']	(0, 1, 0)	3	DT
122	answer	['AE1', 'N', 'S', 'ER0']	(1, 0)	2	NN
123	answered	['AE1', 'N', 'S', 'ER0', 'D']	(1, 0)	2	VBN
124	answers	['AE1', 'N', 'S', 'ER0', 'Z']	(1, 0)	2	NNS
125	ant	['AE1', 'N', 'T']	(1,)	1	NN
126	antics	['AE1', 'N', 'T', 'IH0', 'K', 'S']	(1, 0)	2	NNS
127	antidotes	['AA1', 'N', 'T', 'IH1', 'D', 'OW0', 'T', 'EH1', 'S']	(1, 0, 1, 0)	4	NNS
128	antimatter	['AE0', 'T', 'AY0', 'M', 'AE1', 'T', 'ER0']	(0, 1, 0, 1)	4	NN
129	ants	['AE1', 'N', 'T', 'S']	(1,)	1	NNS
130	anxious	['AE1', 'NG', 'K', 'SH', 'AH0', 'S']	(1, 0)	2	JJ
131	anxiously	['AE1', 'NG', 'K', 'SH', 'AH0', 'S', 'L', 'IY0']	(1, 0, 1)	3	RB
132	any	['EH1', 'N', 'IY0']	(1, 0)	2	DTI
133	anymore	['EH2', 'N', 'IY0', 'M', 'AO1', 'R']	(1, 0, 1)	3	RB
134	anyone	['EH1', 'N', 'IY0', 'W', 'AH2', 'N']	(1, 0, 1)	3	NN
135	anything	['EH1', 'N', 'IY0', 'TH', 'IH2', 'NG']	(1, 0, 1)	3	PN
136	anyways	['EH1', 'N', 'IY0', 'W', 'EY2', 'Z']	(1, 0, 1)	3	NNS
137	anywhere	['EH1', 'N', 'IY0', 'W', 'EH2', 'R']	(1, 0, 1)	3	RB
138	apart	['AH0', 'P', 'AA1', 'R', 'T']	(0, 1)	2	RB
139	apartment	['AH0', 'P', 'AA1', 'R', 'T', 'M', 'AH0', 'N', 'T']	(0, 1, 0)	3	NN
140	aphrodite	['AE2', 'F', 'R', 'AH0', 'D', 'AY1', 'T', 'IY0']	(1, 0, 1, 0)	4	NN
141	apocalyptic	['AH0', 'P', 'AA2', 'K', 'AH0', 'L', 'IH1', 'P', 'T', 'IH0', 'K']	(0, 1, 0, 1, 0)	5	JJ
142	apollo	['AH0', 'P', 'AA1', 'L', 'OW0']	(0, 1, 0)	3	NP
143	apollos	['AA1', 'P', 'AH0', 'Y', 'OW0', 'S']	(1, 0, 1)	3	NN
144	apologize	['AH0', 'P', 'AA1', 'L', 'AH0', 'JH', 'AY2', 'Z']	(0, 1, 0, 1)	4	VB
145	apparent	['AH0', 'P', 'EH1', 'R', 'AH0', 'N', 'T']	(0, 1, 0)	3	JJ
146	apparition	['AE2', 'P', 'ER0', 'IH1', 'SH', 'AH0', 'N']	(1, 0, 1, 0)	4	NN
147	apparitions	['AE2', 'P', 'ER0', 'IH1', 'SH', 'AH0', 'N', 'Z']	(1, 0, 1, 0)	4	NNS
148	appealing	['AH0', 'P', 'IY1', 'L', 'IH0', 'NG']	(0, 1, 0)	3	JJ
149	appeals	['AH0', 'P', 'IY1', 'L', 'Z']	(0, 1)	2	NNS
150	appear	['AH0', 'P', 'IH1', 'R']	(0, 1)	2	VB
151	appears	['AH0', 'P', 'IH1', 'R', 'Z']	(0, 1)	2	VBZ
152	appetites	['AE1', 'P', 'AH0', 'T', 'AY2', 'T', 'S']	(1, 0, 1)	3	NNS
153	apple	['AE1', 'P', 'AH0', 'L']	(1, 0)	2	NN
154	approach	['AH0', 'P', 'R', 'OW1', 'CH']	(0, 1)	2	VB
155	approaches	['AH0', 'P', 'R', 'OW1', 'CH', 'AH0', 'Z']	(0, 1, 0)	3	NNS
156	approbation	['AE2', 'P', 'R', 'AH0', 'B', 'EY1', 'SH', 'AH0', 'N']	(1, 0, 1, 0)	4	NN
157	arch	['AA1', 'R', 'CH']	(1,)	1	NN
158	archer	['AA1', 'R', 'CH', 'ER0']	(1, 0)	2	NN
159	archers	['AE1', 'R', 'AH0', 'HH', 'EH1', 'R', 'S']	(1, 0, 1)	3	NNS
160	are	['AA1', 'R']	(1,)	1	VBP
161	arise	['ER0', 'AY1', 'Z']	(0, 1)	2	NN
162	arm	['AA1', 'R', 'M']	(1,)	1	NN
163	armed	['AA1', 'R', 'M', 'D']	(1,)	1	VBN
164	armies	['AA1', 'R', 'M', 'IY0', 'Z']	(1, 0)	2	NNS
165	arms	['AA1', 'R', 'M', 'Z']	(1,)	1	NNS
166	army	['AA1', 'R', 'M', 'IY0']	(1, 0)	2	NN
167	arose	['ER0', 'OW1', 'Z']	(0, 1)	2	NN
168	around	['ER0', 'AW1', 'N', 'D']	(0, 1)	2	RB
169	arrange	['ER0', 'EY1', 'N', 'JH']	(0, 1)	2	NN
170	array	['ER0', 'EY1']	(0, 1)	2	NN
171	arrive	['ER0', 'AY1', 'V']	(0, 1)	2	VB
172	arrived	['ER0', 'AY1', 'V', 'D']	(0, 1)	2	VBN
173	arrives	['ER0', 'AY1', 'V', 'Z']	(0, 1)	2	NNS
174	arrow	['AE1', 'R', 'OW0']	(1, 0)	2	NN
175	arrows	['AE1', 'R', 'OW0', 'Z']	(1, 0)	2	NNS
176	ars	['AA1', 'R', 'S']	(1,)	1	NNS
177	art	['AA1', 'R', 'T']	(1,)	1	NN
178	artifacts	['AA1', 'R', 'T', 'AH0', 'F', 'AE2', 'K', 'T', 'S']	(1, 0, 1)	3	NNS
179	artificial	['AA2', 'R', 'T', 'AH0', 'F', 'IH1', 'SH', 'AH0', 'L']	(1, 0, 1, 0)	4	JJ
180	artificially	['AA2', 'R', 'T', 'AH0', 'F', 'IH1', 'SH', 'AH0', 'L', 'IY0']	(1, 0, 1, 0, 1)	5	RB
181	artist	['AA1', 'R', 'T', 'AH0', 'S', 'T']	(1, 0)	2	NN
182	artistry	['AA1', 'R', 'T', 'IH0', 'S', 'T', 'R', 'IY0']	(1, 0, 1)	3	NN
183	artists	['AA1', 'R', 'T', 'AH0', 'S', 'T', 'S']	(1, 0)	2	NNS
184	arts	['AA1', 'R', 'T', 'S']	(1,)	1	NNS
185	as	['AE1', 'Z']	(1,)	1	IN
186	ascending	['AH0', 'S', 'EH1', 'N', 'D', 'IH0', 'NG']	(0, 1, 0)	3	VBG
187	ascends	['AH0', 'S', 'EH1', 'N', 'D', 'Z']	(0, 1)	2	NNS
188	ascertain	['AE2', 'S', 'ER0', 'T', 'EY1', 'N']	(1, 0, 1)	3	VB
189	ash	['AE1', 'SH']	(1,)	1	NN
190	ashen	['AE1', 'SH', 'AH0', 'N']	(1, 0)	2	NN
191	ashes	['AE1', 'SH', 'AH0', 'Z']	(1, 0)	2	NNS
192	aside	['AH0', 'S', 'AY1', 'D']	(0, 1)	2	RB
193	ask	['AE1', 'S', 'K']	(1,)	1	NN
194	asked	['AE1', 'S', 'K', 'T']	(1,)	1	VBN
195	asking	['AE1', 'S', 'K', 'IH0', 'NG']	(1, 0)	2	VBG
196	asleep	['AH0', 'S', 'L', 'IY1', 'P']	(0, 1)	2	RB
197	assault	['AH0', 'S', 'AO1', 'L', 'T']	(0, 1)	2	NN
198	assaulting	['AH0', 'S', 'AO1', 'L', 'T', 'IH0', 'NG']	(0, 1, 0)	3	VBG
199	assess	['AH0', 'S', 'EH1', 'S']	(0, 1)	2	NN
200	assure	['AH0', 'SH', 'UH1', 'R']	(0, 1)	2	NN
201	assured	['AH0', 'SH', 'UH1', 'R', 'D']	(0, 1)	2	VBD
202	assures	['AH0', 'SH', 'UH1', 'R', 'Z']	(0, 1)	2	NNS
203	astray	['AH0', 'S', 'T', 'R', 'EY1']	(0, 1)	2	NN
204	astronaut	['AE1', 'S', 'T', 'R', 'AH0', 'N', 'AA2', 'T']	(1, 0, 1)	3	NN
205	at	['AE1', 'T']	(1,)	1	IN
206	athletic	['AE0', 'TH', 'L', 'EH1', 'T', 'IH0', 'K']	(0, 1, 0)	3	JJ
207	atlantis	['AE0', 'T', 'L', 'AE1', 'N', 'T', 'IH0', 'S']	(0, 1, 0)	3	NN
208	atom	['AE1', 'T', 'AH0', 'M']	(1, 0)	2	NN
209	atomic	['AH0', 'T', 'AA1', 'M', 'IH0', 'K']	(0, 1, 0)	3	JJ
210	atop	['AH0', 'T', 'AA1', 'P']	(0, 1)	2	RB
211	attached	['AH0', 'T', 'AE1', 'CH', 'T']	(0, 1)	2	VBN
212	attack	['AH0', 'T', 'AE1', 'K']	(0, 1)	2	NN
213	attempt	['AH0', 'T', 'EH1', 'M', 'P', 'T']	(0, 1)	2	NN
214	attempts	['AH0', 'T', 'EH1', 'M', 'P', 'T', 'S']	(0, 1)	2	NNS
215	attention	['AH0', 'T', 'EH1', 'N', 'SH', 'AH0', 'N']	(0, 1, 0)	3	NN
216	attracted	['AH0', 'T', 'R', 'AE1', 'K', 'T', 'AH0', 'D']	(0, 1, 0)	3	VBD
217	attraction	['AH0', 'T', 'R', 'AE1', 'K', 'SH', 'AH0', 'N']	(0, 1, 0)	3	NN
218	aunt	['AE1', 'N', 'T']	(1,)	1	NN
219	automatic	['AO2', 'T', 'AH0', 'M', 'AE1', 'T', 'IH0', 'K']	(1, 0, 1, 0)	4	JJ
220	autumn	['AO1', 'T', 'AH0', 'M']	(1, 0)	2	NN
221	avenge	['AH0', 'V', 'EH1', 'N', 'JH']	(0, 1)	2	NN
222	avoid	['AH0', 'V', 'OY1', 'D']	(0, 1)	2	NN
223	await	['AH0', 'W', 'EY1', 'T']	(0, 1)	2	NN
224	awaited	['AH0', 'W', 'EY1', 'T', 'AH0', 'D']	(0, 1, 0)	3	VBN
225	awaits	['AH0', 'W', 'EY1', 'T', 'S']	(0, 1)	2	NNS
226	awake	['AH0', 'W', 'EY1', 'K']	(0, 1)	2	JJ
227	awakes	['AA1', 'W', 'AA1', 'K', 'AH0', 'S']	(1, 0, 1)	3	NNS
228	awaking	['AE1', 'W', 'AA1', 'K', 'IH1', 'NG']	(1, 0, 1)	3	VBG
229	aware	['AH0', 'W', 'EH1', 'R']	(0, 1)	2	JJ
230	awareness	['AH0', 'W', 'EH1', 'R', 'N', 'AH0', 'S']	(0, 1, 0)	3	NN
231	away	['AH0', 'W', 'EY1']	(0, 1)	2	RB
232	awe	['AA1']	(1,)	1	NN
233	awesome	['AA1', 'S', 'AH0', 'M']	(1, 0)	2	NN
234	awful	['AA1', 'F', 'AH0', 'L']	(1, 0)	2	JJ
235	awoke	['AH0', 'W', 'OW1', 'K']	(0, 1)	2	NN
236	awoken	['AA1', 'W', 'OW0', 'K', 'IH0', 'N']	(1, 0, 1)	3	NN
237	azure	['AE1', 'ZH', 'ER0']	(1, 0)	2	NN
238	baby	['B', 'EY1', 'B', 'IY0']	(1, 0)	2	NN
239	babylon	['B', 'AE1', 'B', 'AH0', 'L', 'AA2', 'N']	(1, 0, 1)	3	NP
240	bach	['B', 'AA1', 'K']	(1,)	1	NP
241	back	['B', 'AE1', 'K']	(1,)	1	RB
242	backdrop	['B', 'AE1', 'K', 'D', 'R', 'AA2', 'P']	(1, 0)	2	NN
243	backward	['B', 'AE1', 'K', 'W', 'ER0', 'D']	(1, 0)	2	NN
244	backwards	['B', 'AE1', 'K', 'W', 'ER0', 'D', 'Z']	(1, 0)	2	NNS
245	bad	['B', 'AE1', 'D']	(1,)	1	JJ
246	baggage	['B', 'AE1', 'G', 'AH0', 'JH']	(1, 0)	2	NN
247	bags	['B', 'AE1', 'G', 'Z']	(1,)	1	NNS
248	bake	['B', 'EY1', 'K']	(1,)	1	NN
249	balance	['B', 'AE1', 'L', 'AH0', 'N', 'S']	(1, 0)	2	NN
250	balanced	['B', 'AE1', 'L', 'AH0', 'N', 'S', 'T']	(1, 0)	2	VBN
251	ball	['B', 'AO1', 'L']	(1,)	1	NN
252	balls	['B', 'AO1', 'L', 'Z']	(1,)	1	NNS
253	balm	['B', 'AA1', 'M']	(1,)	1	NN
254	band	['B', 'AE1', 'N', 'D']	(1,)	1	NN
255	bands	['B', 'AE1', 'N', 'D', 'Z']	(1,)	1	NNS
256	bang	['B', 'AE1', 'NG']	(1,)	1	NN
257	banging	['B', 'AE1', 'NG', 'IH0', 'NG']	(1, 0)	2	NN
258	bank	['B', 'AE1', 'NG', 'K']	(1,)	1	NN
259	bankers	['B', 'AE1', 'NG', 'K', 'ER0', 'Z']	(1, 0)	2	NNS
260	banks	['B', 'AE1', 'NG', 'K', 'S']	(1,)	1	NNS
261	banned	['B', 'AE1', 'N', 'D']	(1,)	1	VBN
262	banquet	['B', 'AE1', 'NG', 'K', 'W', 'AH0', 'T']	(1, 0)	2	NN
263	barbed	['B', 'AA1', 'R', 'B', 'D']	(1,)	1	NN
264	bare	['B', 'EH1', 'R']	(1,)	1	NN
265	barely	['B', 'EH1', 'R', 'L', 'IY0']	(1, 0)	2	RB
266	bark	['B', 'AA1', 'R', 'K']	(1,)	1	NN
267	barns	['B', 'AA1', 'R', 'N', 'Z']	(1,)	1	NNS
268	barred	['B', 'AA1', 'R', 'D']	(1,)	1	VBN
269	barren	['B', 'AE1', 'R', 'AH0', 'N']	(1, 0)	2	JJ
270	barriers	['B', 'AE1', 'R', 'IY0', 'ER0', 'Z']	(1, 0, 1)	3	NNS
271	bars	['B', 'AA1', 'R', 'Z']	(1,)	1	NNS
272	base	['B', 'EY1', 'S']	(1,)	1	NN
273	bashful	['B', 'AE1', 'SH', 'F', 'AH0', 'L']	(1, 0)	2	JJ
274	basking	['B', 'AE1', 'S', 'K', 'IH0', 'NG']	(1, 0)	2	NN
275	bass	['B', 'AE1', 'S']	(1,)	1	NN
276	bathe	['B', 'EY1', 'DH']	(1,)	1	NN
277	bathed	['B', 'EY1', 'DH', 'D']	(1,)	1	VBN
278	bathing	['B', 'EY1', 'DH', 'IH0', 'NG']	(1, 0)	2	VBG
279	bathroom	['B', 'AE1', 'TH', 'R', 'UW2', 'M']	(1, 0)	2	NN
280	bats	['B', 'AE1', 'T', 'S']	(1,)	1	NNS
281	battered	['B', 'AE1', 'T', 'ER0', 'D']	(1, 0)	2	VBN
282	battery	['B', 'AE1', 'T', 'ER0', 'IY0']	(1, 0, 1)	3	NN
283	battle	['B', 'AE1', 'T', 'AH0', 'L']	(1, 0)	2	NN
284	battlefield	['B', 'AE1', 'T', 'AH0', 'L', 'F', 'IY2', 'L', 'D']	(1, 0, 1)	3	NN
285	battlements	['B', 'AE1', 'T', 'AH0', 'L', 'M', 'AH0', 'N', 'T', 'S']	(1, 0, 1)	3	NNS
286	battles	['B', 'AE1', 'T', 'AH0', 'L', 'Z']	(1, 0)	2	NNS
287	battleships	['B', 'AE1', 'T', 'AH0', 'L', 'SH', 'IH2', 'P', 'S']	(1, 0, 1)	3	NNS
288	be	['B', 'IY1']	(1,)	1	BE
289	beach	['B', 'IY1', 'CH']	(1,)	1	NN
290	beaches	['B', 'IY1', 'CH', 'AH0', 'Z']	(1, 0)	2	NNS
291	beacon	['B', 'IY1', 'K', 'AH0', 'N']	(1, 0)	2	NN
292	bead	['B', 'IY1', 'D']	(1,)	1	NN
293	beak	['B', 'IY1', 'K']	(1,)	1	NN
294	beam	['B', 'IY1', 'M']	(1,)	1	NN
295	beaming	['B', 'IY1', 'M', 'IH0', 'NG']	(1, 0)	2	VBG
296	beams	['B', 'IY1', 'M', 'Z']	(1,)	1	NNS
297	bean	['B', 'IY1', 'N']	(1,)	1	NN
298	bear	['B', 'EH1', 'R']	(1,)	1	NN
299	bears	['B', 'EH1', 'R', 'Z']	(1,)	1	VBZ
300	beast	['B', 'IY1', 'S', 'T']	(1,)	1	NN
301	beat	['B', 'IY1', 'T']	(1,)	1	NN
302	beating	['B', 'IY1', 'T', 'IH0', 'NG']	(1, 0)	2	VBG
303	beatitudes	['B', 'IY1', 'T', 'IH0', 'T', 'AH0', 'D', 'EH1', 'S']	(1, 0, 1, 0)	4	NPS
304	beats	['B', 'IY1', 'T', 'S']	(1,)	1	VBZ
305	beautiful	['B', 'Y', 'UW1', 'T', 'AH0', 'F', 'AH0', 'L']	(1, 0, 1)	3	NN
306	beauty	['B', 'Y', 'UW1', 'T', 'IY0']	(1, 0)	2	NN
307	became	['B', 'IH0', 'K', 'EY1', 'M']	(0, 1)	2	VBD
308	because	['B', 'IH0', 'K', 'AO1', 'Z']	(0, 1)	2	CS
309	become	['B', 'IH0', 'K', 'AH1', 'M']	(0, 1)	2	NN
310	becomes	['B', 'IH0', 'K', 'AH1', 'M', 'Z']	(0, 1)	2	VBZ
311	bed	['B', 'EH1', 'D']	(1,)	1	NN
312	beds	['B', 'EH1', 'D', 'Z']	(1,)	1	NNS
313	bee	['B', 'IY1']	(1,)	1	NN
314	been	['B', 'IH1', 'N']	(1,)	1	BEN
